"Distributor Company","Retail Company","Policy Name",Quantity
"ATLAS TELECOM (HQ)",,"BASIC + 1",0
"ATLAS TELECOM (HQ)",,"BASIC + 2",0
"ATLAS TELECOM (HQ)",,"BASIC + 3",0
"ATLAS TELECOM (HQ)",,"BASIC + 4",0
,"ATLAS TELECOM ( ANG MO KIO)","BASIC + 1",10
,"ATLAS TELECOM ( ANG MO KIO)","BASIC + 2",10
,"ATLAS TELECOM ( ANG MO KIO)","BASIC + 3",5
,"ATLAS TELECOM ( ANG MO KIO)","BASIC + 4",5
,"ATLAS TELECOM (TAMPINES)","BASIC + 1",10
,"ATLAS TELECOM (TAMPINES)","BASIC + 2",10
,"ATLAS TELECOM (TAMPINES)","BASIC + 3",5
,"ATLAS TELECOM (TAMPINES)","BASIC + 4",5
,"ATLAS TELECOM (HOUGANG)","BASIC + 1",10
,"ATLAS TELECOM (HOUGANG)","BASIC + 2",9
,"ATLAS TELECOM (HOUGANG)","BASIC + 3",5
,"ATLAS TELECOM (HOUGANG)","BASIC + 4",5
