"Distributor Company","Retail Company","Policy Name",Quantity
"POD CONTACT TELECOMMUNICATION (JURONG WEST)",,"BASIC + 1",6
"POD CONTACT TELECOMMUNICATION (JURONG WEST)",,"BASIC + 2",5
"POD CONTACT TELECOMMUNICATION (JURONG WEST)",,"BASIC + 3",4
"POD CONTACT TELECOMMUNICATION (JURONG WEST)",,"BASIC + 4",4
,"POD CONTACT (HEARTLAND MALL)","BASIC + 1",7
,"POD CONTACT (HEARTLAND MALL)","BASIC + 2",1
,"POD CONTACT (HEARTLAND MALL)","BASIC + 3",3
,"POD CONTACT (HEARTLAND MALL)","BASIC + 4",3
,"POD Contact (Rivervale Plaza)","BASIC + 1",5
,"POD Contact (Rivervale Plaza)","BASIC + 2",2
,"POD Contact (Rivervale Plaza)","BASIC + 3",3
,"POD Contact (Rivervale Plaza)","BASIC + 4",3
