"Distributor Company","Retail Company","Policy Name",Quantity
"A-MOBILE PTE LTD",,"BASIC + 1",366
"A-MOBILE PTE LTD",,"BASIC + 2",595
"A-MOBILE PTE LTD",,"BASIC + 3",200
"A-MOBILE PTE LTD",,"BASIC + 4",300
,"DV Tech Pte Ltd","BASIC + 1",20
,"DV Tech Pte Ltd","BASIC + 2",10
,"DV Tech Pte Ltd","BASIC + 3",5
,"DV Tech Pte Ltd","BASIC + 4",5
,"RED WHITE MOBILE PRIVATE LIMITED","BASIC + 1",10
,"RED WHITE MOBILE PRIVATE LIMITED","BASIC + 2",10
,"RED WHITE MOBILE PRIVATE LIMITED","BASIC + 3",5
,"RED WHITE MOBILE PRIVATE LIMITED","BASIC + 4",5
,"GARPHIL ENTERPRISE","BASIC + 1",10
,"GARPHIL ENTERPRISE","BASIC + 2",10
,"GARPHIL ENTERPRISE","BASIC + 3",5
,"GARPHIL ENTERPRISE","BASIC + 4",5
,"IGEN MOBILE & ACCESSORIES","BASIC + 1",10
,"IGEN MOBILE & ACCESSORIES","BASIC + 2",10
,"IGEN MOBILE & ACCESSORIES","BASIC + 3",5
,"IGEN MOBILE & ACCESSORIES","BASIC + 4",5
,"66 CONNEXIONS MOBILE PTE LTD","BASIC + 1",10
,"66 CONNEXIONS MOBILE PTE LTD","BASIC + 2",10
,"66 CONNEXIONS MOBILE PTE LTD","BASIC + 3",5
,"66 CONNEXIONS MOBILE PTE LTD","BASIC + 4",5
,"I.COMM MOBILE PLUS","BASIC + 1",10
,"I.COMM MOBILE PLUS","BASIC + 2",10
,"I.COMM MOBILE PLUS","BASIC + 3",5
,"I.COMM MOBILE PLUS","BASIC + 4",5
,"Popular Book Company Pte Ltd (HQ)","BASIC + 1",24
,"Popular Book Company Pte Ltd (HQ)","BASIC + 2",10
,"Popular Book Company Pte Ltd (HQ)","BASIC + 3",55
,"Popular Book Company Pte Ltd (HQ)","BASIC + 4",55
,"POD CONTACT TELECOMMUNICATION (JURONG WEST)","BASIC + 1",6
,"POD CONTACT TELECOMMUNICATION (JURONG WEST)","BASIC + 2",5
,"POD CONTACT TELECOMMUNICATION (JURONG WEST)","BASIC + 3",4
,"POD CONTACT TELECOMMUNICATION (JURONG WEST)","BASIC + 4",4
,"SYMBIAN MOBILE PTE LTD (HQ)","BASIC + 1",0
,"SYMBIAN MOBILE PTE LTD (HQ)","BASIC + 2",0
,"SYMBIAN MOBILE PTE LTD (HQ)","BASIC + 3",0
,"SYMBIAN MOBILE PTE LTD (HQ)","BASIC + 4",0
,"ATLAS TELECOM (HQ)","BASIC + 1",0
,"ATLAS TELECOM (HQ)","BASIC + 2",0
,"ATLAS TELECOM (HQ)","BASIC + 3",0
,"ATLAS TELECOM (HQ)","BASIC + 4",0
,"EZYLINK PTE. LTD.","BASIC + 1",30
,"EZYLINK PTE. LTD.","BASIC + 2",30
,"EZYLINK PTE. LTD.","BASIC + 3",15
,"EZYLINK PTE. LTD.","BASIC + 4",15
,"YU XUAN HANDPHONE SHOP","BASIC + 1",20
,"YU XUAN HANDPHONE SHOP","BASIC + 2",20
,"YU XUAN HANDPHONE SHOP","BASIC + 3",10
,"YU XUAN HANDPHONE SHOP","BASIC + 4",10
,"Jim And Rich Trading","BASIC + 1",50
,"Jim And Rich Trading","BASIC + 2",45
,"Jim And Rich Trading","BASIC + 3",25
,"Jim And Rich Trading","BASIC + 4",23
,"IN-TOUCH HQ","BASIC + 1",50
,"IN-TOUCH HQ","BASIC + 2",49
,"IN-TOUCH HQ","BASIC + 3",25
,"IN-TOUCH HQ","BASIC + 4",25
,"G3 Mobile","BASIC + 1",1
