"Distributor Company","Retail Company","Policy Name",Quantity
"Popular Book Company Pte Ltd (HQ)",,"BASIC + 1",24
"Popular Book Company Pte Ltd (HQ)",,"BASIC + 2",10
"Popular Book Company Pte Ltd (HQ)",,"BASIC + 3",55
"Popular Book Company Pte Ltd (HQ)",,"BASIC + 4",55
,"POPULAR (BRAS BASAH COMPLEX)","BASIC + 1",11
,"POPULAR (BRAS BASAH COMPLEX)","BASIC + 2",10
,"Popular (MARINE PARADE CENTRAL)","BASIC + 1",10
,"Popular (MARINE PARADE CENTRAL)","BASIC + 2",5
,"POPULAR (NORTHPOINT SHOPPING CENTRE)","BASIC + 1",5
,"POPULAR (NORTHPOINT SHOPPING CENTRE)","BASIC + 2",10
,"POPULAR (TOA PAYOH-HDB)","BASIC + 1",10
,"POPULAR (TOA PAYOH-HDB)","BASIC + 2",10
,"POPULAR (JUNCTION 8 SHOPPING CENTRE)","BASIC + 1",10
,"POPULAR (JUNCTION 8 SHOPPING CENTRE)","BASIC + 2",10
,"POPULAR (TAMPINES MALL)","BASIC + 1",10
,"POPULAR (TAMPINES MALL)","BASIC + 2",10
,"POPULAR (JURONG POINT)","BASIC + 1",10
,"POPULAR (JURONG POINT)","BASIC + 2",10
,"POPULAR (NEX MALL)","BASIC + 1",5
,"POPULAR (NEX MALL)","BASIC + 2",10
,"POPULAR (THE CLEMENTI MALL)","BASIC + 1",5
,"POPULAR (THE CLEMENTI MALL)","BASIC + 2",10
,"POPULAR (BEDOK MALL )","BASIC + 1",5
,"POPULAR (BEDOK MALL )","BASIC + 2",5
,"POPULAR (OASIS TERRACES PUNGGOL)","BASIC + 1",5
,"POPULAR (OASIS TERRACES PUNGGOL)","BASIC + 2",10
