"Distributor Company","Retail Company","Policy Name",Quantity
"SYMBIAN MOBILE PTE LTD (HQ)",,"BASIC + 1",0
"SYMBIAN MOBILE PTE LTD (HQ)",,"BASIC + 2",0
"SYMBIAN MOBILE PTE LTD (HQ)",,"BASIC + 3",0
"SYMBIAN MOBILE PTE LTD (HQ)",,"BASIC + 4",0
,"SYMBIAN MOBILE PTE LTD (MARINE PARADE)","BASIC + 1",10
,"SYMBIAN MOBILE PTE LTD (MARINE PARADE)","BASIC + 2",9
,"SYMBIAN MOBILE PTE LTD (MARINE PARADE)","BASIC + 3",5
,"SYMBIAN MOBILE PTE LTD (MARINE PARADE)","BASIC + 4",5
,"SYMBIAN MOBILE PTE LTD (LUCKY PLAZA)","BASIC + 1",10
,"SYMBIAN MOBILE PTE LTD (LUCKY PLAZA)","BASIC + 2",10
,"SYMBIAN MOBILE PTE LTD (LUCKY PLAZA)","BASIC + 3",5
,"SYMBIAN MOBILE PTE LTD (LUCKY PLAZA)","BASIC + 4",5
,"SYMBIAN MOBILE PTE LTD (BEDOK CENTRAL)","BASIC + 1",10
,"SYMBIAN MOBILE PTE LTD (BEDOK CENTRAL)","BASIC + 2",10
,"SYMBIAN MOBILE PTE LTD (BEDOK CENTRAL)","BASIC + 3",5
,"SYMBIAN MOBILE PTE LTD (BEDOK CENTRAL)","BASIC + 4",5
